"ID","location","size_est","size_actual","charcoal_present","smoker_present","salads","burgers","hotdogs","chicken","beyond_items"
1,"backyard","small",11,1,0,5.09261269006501,1,1,1,0
2,"backyard","small",13,1,0,9.52980527945639,1,1,1,0
3,"campsite","large",45,1,0,35.9138694459951,1,1,0,0
4,"backyard","large",48,0,0,36.1615875675902,1,1,0,0
5,"backyard","small",10,1,0,6.66507737446151,1,1,1,0
6,"backyard","small",13,1,0,10.4684600243714,1,1,0,1
7,"campsite","small",15,1,0,11.2315069761682,0,1,1,0
8,"beach","small",14,1,0,12.0405168114974,1,1,1,0
9,"backyard","small",10,0,0,7.30314497206193,1,1,1,0
10,"campsite","large",27,0,0,18.9605525713018,1,1,1,0
11,"campsite","small",8,0,0,7.07753006575759,0,1,1,0
12,"campsite","small",14,1,0,13.7953777448569,0,1,1,1
13,"campsite","small",18,1,1,9.12722351835835,1,1,1,0
14,"backyard","small",17,1,1,13.9043749026632,1,1,1,0
15,"backyard","small",14,0,0,6.96065582105238,1,1,1,1
16,"campsite","small",6,0,0,4.30831900782122,1,1,1,0
17,"backyard","small",14,0,0,9.67201803304417,1,0,1,0
18,"campsite","small",12,1,1,6.90415940626368,0,1,1,0
19,"campsite","large",34,0,0,29.568734137529,1,1,1,1
20,"backyard","small",9,0,1,6.92859432936882,1,1,0,0
21,"campsite","small",14,1,0,12.1728507212834,1,1,1,1
22,"backyard","small",14,1,0,7.04462794329583,0,1,1,1
23,"backyard","large",43,0,0,28.8053876988223,1,1,0,1
24,"backyard","large",42,0,1,35.5713815977484,1,1,1,1
25,"backyard","small",15,0,1,10.7016981179706,1,1,0,0
26,"backyard","small",15,0,0,9.91852642244146,1,1,1,1
27,"campsite","small",11,0,1,7.22392294391913,1,1,1,0
28,"backyard","small",9,0,1,5.37552281045842,1,1,1,1
29,"campsite","small",11,0,0,6.0335947942183,1,1,1,1
30,"campsite","small",13,1,0,6.29298259372036,0,1,1,1
31,"campsite","small",13,0,1,6.60300612375095,1,1,1,1
32,"campsite","small",8,1,1,6.63522584242823,1,1,1,0
33,"campsite","small",10,0,0,5.88336356319419,1,1,1,1
34,"backyard","large",40,1,1,23.9754123536731,1,1,1,0
35,"beach","small",12,0,0,7.61839831439625,1,1,1,0
36,"backyard","large",47,0,0,30.408870066737,0,1,1,0
37,"backyard","small",12,1,0,8.22266113837178,0,1,0,0
38,"backyard","small",10,1,0,5.80914390649691,1,1,0,0
39,"backyard","small",13,0,0,7.13409942614437,1,1,1,1
40,"campsite","large",45,0,0,41.7208844753455,1,1,0,0
41,"beach","small",15,1,0,9.91173723495171,1,1,1,1
42,"backyard","small",6,0,0,5.04486714247231,0,1,1,0
43,"beach","small",11,1,0,10.0101072412131,1,1,1,0
44,"backyard","small",13,1,0,8.1685390066602,1,1,0,1
45,"backyard","small",7,0,1,4.04805602621697,0,1,0,1
46,"backyard","large",37,0,0,24.8516249748009,1,0,0,0
47,"backyard","small",9,1,0,6.03735856960521,1,1,1,0
48,"backyard","small",11,0,1,5.21673342837903,1,1,0,0
49,"campsite","small",18,1,1,13.2722786879211,1,1,0,0
50,"backyard","large",46,0,0,30.9949607490081,1,1,1,0
51,"campsite","small",17,1,0,15.4000626129171,0,1,0,0
52,"backyard","large",39,1,0,32.7406636508591,0,1,1,1
53,"backyard","small",11,0,0,10.1084089603677,1,1,0,1
54,"campsite","large",36,1,1,31.0157444038059,1,1,0,1
55,"campsite","small",9,1,0,7.12440706745121,1,1,1,0
56,"backyard","small",11,1,1,8.87703418782335,1,0,1,0
57,"backyard","large",45,1,0,28.68139028216,1,1,0,0
58,"backyard","large",32,1,0,23.8242078876687,0,1,1,1
59,"campsite","large",47,1,0,39.9474700903217,1,1,0,0
60,"beach","large",33,1,0,25.3940185088081,1,1,1,1
61,"campsite","large",35,0,0,21.3683545618327,1,1,1,0
62,"campsite","small",16,1,0,8.76721276912798,1,1,0,0
63,"backyard","large",44,0,0,29.2023711235533,1,1,1,0
64,"backyard","small",9,1,0,7.37776064432824,0,1,1,1
65,"backyard","small",12,1,0,10.012019303849,1,1,0,0
66,"campsite","large",53,0,1,31.2738227147345,1,1,1,0
67,"backyard","small",14,1,0,11.494032246471,1,1,0,0
68,"beach","large",38,1,0,37.7208424589434,1,1,1,0
69,"backyard","small",11,0,1,8.37187797246571,1,1,0,1
70,"backyard","small",15,0,0,9.53951973284415,1,0,1,0
71,"campsite","small",14,1,0,10.6725775337265,1,1,0,1
72,"campsite","large",34,1,0,24.6095897743728,1,1,1,1
73,"backyard","small",9,0,0,7.3844148137729,0,1,0,0
74,"backyard","large",41,1,1,28.539612115236,1,1,1,0
75,"campsite","small",9,1,1,6.05268486530877,0,1,1,0
76,"campsite","large",38,1,1,27.4108048662925,1,1,1,0
77,"campsite","large",27,0,1,20.4834248141637,1,1,0,0
78,"backyard","large",47,0,0,35.3673896956535,0,1,1,1
79,"backyard","small",14,0,0,10.7394704967079,1,1,1,0
80,"campsite","large",34,0,1,23.2994997266776,1,1,1,0
81,"campsite","small",14,1,0,7.87388711314555,1,1,1,0
82,"backyard","small",5,1,0,4.01503269318198,1,1,1,0
