"ID","location","size_est","size_actual","charcoal_present","smoker_present","salads","burgers","hotdogs","chicken","beyond_items","propane_used"
1,"backyard","large",40,1,0,33.86035323694,1,1,1,0,52.9363601338675
2,"backyard","large",44,1,0,31.7704914482976,1,1,1,1,54.8053589159408
3,"campsite","small",11,0,0,9.50260174013597,0,1,0,0,55.7837664036021
4,"backyard","small",14,0,0,10.2264509831024,1,1,0,0,58.9576208949257
5,"backyard","small",11,0,0,6.15119116630986,1,1,0,0,56.7803534728059
6,"backyard","large",46,1,0,24.1264133802073,1,1,1,0,55.7865641929274
7,"backyard","small",9,0,0,3.96346603075437,0,1,0,0,54.0639087800634
8,"backyard","small",10,1,0,4.7943636372097,1,1,0,1,46.9003569970047
9,"campsite","small",9,1,1,4.7278131926859,1,1,1,0,26.0505866009556
10,"backyard","small",15,1,0,12.6225686961253,1,1,1,0,49.4735170931867
11,"backyard","small",15,1,0,5.6716266729636,1,1,0,0,49.4743087018485
12,"backyard","large",52,1,0,37.1792749882225,1,1,1,0,55.7429024500745
13,"campsite","large",50,0,1,36.6319347315412,1,1,1,1,36.1589891374925
14,"backyard","small",16,0,0,6.29419032321125,1,1,1,0,58.2083282478838
15,"campsite","small",10,1,1,3.54551989955581,1,1,1,1,27.2218419916611
16,"beach","small",10,1,0,4.07482047944026,1,1,0,0,43.8653598569905
17,"backyard","small",13,0,1,9.06883041687546,1,1,0,0,37.8564445315574
18,"campsite","large",43,1,0,31.9642359708028,1,1,0,0,46.4286751851722
19,"campsite","small",14,0,0,10.8285731504414,1,1,1,0,56.3262285612848
20,"backyard","small",12,1,1,8.09133372854518,1,1,1,1,26.2576697439101
21,"backyard","small",14,1,0,11.5256927387531,1,1,0,1,48.0303834457968
22,"campsite","small",10,1,0,6.6322395622531,1,1,0,0,43.8938181512313
23,"campsite","small",13,0,0,4.51129840456829,0,0,1,1,55.7983462083685
24,"campsite","small",13,1,0,6.84290036680797,0,1,1,0,43.2274156376944
25,"backyard","small",10,0,0,6.17285431160375,1,1,1,1,56.5914242647749
26,"campsite","small",8,0,1,6.88010849066263,1,1,0,1,33.9189455408161
27,"backyard","small",12,0,0,9.46409495543207,1,1,1,0,58.2918093451409
28,"backyard","small",9,1,0,6.26651281715063,1,1,1,0,45.3244091652268
29,"backyard","large",29,0,0,18.2398303704291,0,1,1,1,62.4803859314543
30,"backyard","small",7,0,1,3.13635458803996,0,1,1,0,36.3135573457887
31,"backyard","small",13,1,0,8.63227956769474,1,1,1,0,47.3164500376559
32,"campsite","small",11,0,0,10.8564805281845,1,1,0,0,52.8768343735272
33,"campsite","small",12,0,1,9.93880856748139,1,1,1,0,34.0083449213109
34,"backyard","small",11,0,0,8.226268934339,1,1,1,0,57.3307445653422
35,"backyard","small",11,0,1,5.84452130557227,0,1,1,1,35.9222541541052
36,"campsite","large",37,1,0,30.9142761816094,1,1,1,0,48.5353531342414
37,"beach","large",45,1,0,38.4977993048965,1,1,1,1,42.228798996194
38,"campsite","small",11,0,0,8.051545133562,1,1,0,1,52.8515963191757
39,"backyard","small",7,0,0,4.41629284458531,1,1,0,1,54.0857928482991
40,"backyard","small",11,0,0,6.63141960211258,1,1,0,0,57.1206553067179
41,"backyard","small",14,1,0,11.68089481678,1,1,1,0,47.7633176544634
42,"beach","small",8,0,0,5.97338830065931,1,1,0,0,54.303155750944
43,"campsite","large",43,0,1,26.2512823983475,1,1,1,0,35.2448455461771
44,"backyard","small",9,0,0,5.90450729858212,1,1,1,0,55.7739494020272
45,"campsite","small",11,1,1,7.93648831431653,1,1,0,1,25.5691748701919
46,"backyard","small",12,0,0,5.54529100383402,1,1,0,0,56.3794753769757
47,"backyard","small",8,1,0,4.70184628075321,1,1,1,0,46.4434533926276
48,"backyard","small",12,0,0,6.39216761377727,1,0,1,1,57.8410528205876
49,"campsite","large",34,0,0,25.6991019697859,1,1,0,1,57.5488427915026
50,"campsite","small",10,1,0,5.56324695755357,1,1,1,1,47.1016380596095
51,"beach","small",8,1,1,7.55141346008518,1,1,0,0,22.4419701775434
52,"campsite","small",21,1,0,14.5051548647173,1,1,1,0,46.7471946765247
53,"backyard","small",12,0,0,7.2478565746897,1,1,0,0,57.7770565407358
54,"campsite","large",48,1,0,30.0166907560479,0,1,0,0,45.6577020136175
55,"beach","small",9,1,0,3.78964915687232,1,1,0,0,42.8413252946256
56,"campsite","small",14,0,0,7.85073523745022,1,1,0,1,54.5729795842281
57,"campsite","large",39,1,0,30.7183790637259,1,0,1,0,52.5433385982091
58,"backyard","small",7,1,0,4.70228367322988,1,1,0,0,44.0333914166337
59,"backyard","small",12,1,1,6.49141380199139,1,1,0,0,26.6835805600254
60,"backyard","small",11,0,0,6.94922073971674,1,1,1,0,57.1833887436147
61,"beach","small",17,0,1,12.4872108490907,1,1,0,0,33.5919395860267
62,"campsite","small",16,1,1,8.88032339729147,1,1,0,0,26.4843691719572
63,"backyard","large",35,1,0,20.2612613192301,1,1,1,0,54.68952736563
64,"backyard","small",13,1,0,8.89648317685105,1,1,1,0,49.9197940313047
65,"backyard","small",15,0,0,14.7680935237125,1,1,1,1,57.7017361830468
66,"beach","small",11,1,0,5.76885786539515,1,1,1,0,45.8120104047292
67,"beach","large",36,0,0,27.4191592163642,1,1,1,0,55.5428187410342
68,"backyard","small",17,1,0,10.9842437931139,1,1,1,0,48.7652787265858
69,"backyard","small",13,1,1,6.27400883146067,1,1,1,1,27.182270526464
70,"backyard","small",10,0,0,5.81711472581491,1,1,0,1,56.0673789147698
71,"backyard","small",10,1,0,7.42000977151993,0,1,0,1,45.8679330190043
72,"backyard","large",43,0,0,30.1328217875167,1,1,0,1,66.016724950611
73,"campsite","large",33,0,0,25.1484036555635,1,1,0,1,55.2136026758542
74,"backyard","small",7,0,0,3.87094601400355,1,1,1,0,54.8811098262075
75,"backyard","small",8,1,0,4.58923713133176,1,1,0,0,46.0304181230495
76,"backyard","small",9,1,0,3.27341645856554,1,1,1,0,48.1241496779328
77,"backyard","small",16,1,0,9.85794728098067,1,1,1,1,48.6469352610482
