"ID","location","size_est","size_actual","charcoal_present","smoker_present","salads","burgers","hotdogs","chicken","beyond_items"
1,"beach","small",16,1,1,10.1606140467431,1,1,0,0
2,"backyard","small",10,0,0,5.97441452715857,1,1,1,0
3,"backyard","small",14,1,1,8.26692259169102,1,1,0,0
4,"campsite","small",10,1,0,7.08884924945648,1,1,0,0
5,"backyard","small",10,0,0,5.72836637428975,1,1,1,0
6,"backyard","large",49,1,0,38.851793418722,1,1,1,0
7,"backyard","large",35,1,0,24.7732760318584,1,1,0,0
8,"campsite","small",15,0,0,8.46994896246058,0,1,1,1
9,"backyard","small",15,1,0,13.2892706055063,1,1,0,0
10,"campsite","small",15,0,1,10.2422886495748,1,1,1,1
11,"backyard","large",55,0,0,43.5109547334588,1,1,1,1
12,"campsite","small",15,0,1,12.825723890168,1,1,1,0
13,"beach","large",39,1,1,29.6935859238942,1,1,0,0
14,"backyard","small",8,0,1,5.17068220438387,1,1,0,1
15,"backyard","large",34,0,1,27.2399841279304,1,1,1,1
16,"backyard","small",14,1,0,9.52527972591133,1,1,0,1
17,"backyard","small",11,1,0,8.51712948940589,1,1,1,0
18,"backyard","small",10,1,1,5.64409236823084,1,1,1,0
19,"backyard","small",13,1,0,10.0914574125651,1,1,1,1
20,"campsite","large",28,0,1,20.8403320843336,1,1,1,0
21,"backyard","small",11,1,0,7.22694042065427,1,1,0,1
22,"backyard","large",39,0,0,27.8904201765708,0,1,0,0
23,"campsite","small",9,0,0,8.07195925984559,1,1,0,0
24,"backyard","small",10,0,1,6.67572828168853,1,1,1,1
25,"campsite","small",12,0,1,7.77431100140684,1,1,1,0
26,"backyard","small",14,1,0,6.90525405615114,0,1,0,0
27,"beach","large",44,0,0,36.5205547456244,0,1,0,0
28,"campsite","small",18,0,0,13.8123557861925,1,0,0,0
29,"backyard","small",18,0,0,14.1601449227201,1,1,0,0
30,"backyard","small",9,1,0,4.49599517166125,0,1,1,1
31,"beach","small",10,1,0,6.93788086860616,1,1,1,0
32,"campsite","small",14,1,1,11.0152125090139,1,1,1,1
33,"backyard","large",35,0,0,28.911723124542,1,1,0,0
34,"backyard","small",11,1,0,6.01556353752206,1,1,1,1
35,"backyard","large",55,1,0,38.3506305147843,1,1,1,0
36,"backyard","small",14,0,0,12.8715271516565,0,1,1,0
37,"backyard","large",33,1,0,20.4325296330792,1,1,1,0
38,"campsite","large",39,1,0,35.3030060429642,1,1,0,0
39,"campsite","small",13,1,0,7.50916033613168,1,1,1,0
40,"backyard","small",14,0,0,7.82470959175533,1,1,1,1
41,"backyard","small",10,0,0,4.87231621053598,0,1,0,0
42,"backyard","small",11,0,0,5.29654721709786,1,1,0,0
43,"campsite","small",12,0,0,9.88181597889683,1,1,1,0
44,"backyard","small",14,1,0,8.55807307205275,0,1,1,0
45,"campsite","small",10,1,1,5.64631497400256,1,1,1,0
46,"beach","small",15,0,0,8.23268751528003,1,1,1,0
47,"campsite","large",39,0,1,26.8280497048326,1,1,0,0
48,"backyard","small",10,1,0,9.34780178257275,1,1,1,1
49,"campsite","small",16,1,0,12.4049873386948,1,1,1,0
50,"campsite","small",11,1,0,6.88019020692548,1,1,1,0
51,"beach","small",10,0,0,6.86511365293139,1,1,1,0
52,"backyard","large",51,0,1,38.8401395139131,1,1,1,0
53,"backyard","small",11,0,0,6.89062457125984,1,0,0,1
54,"backyard","small",10,0,0,6.29726174154651,1,1,1,0
55,"backyard","small",12,0,0,8.66133641841649,1,1,0,1
56,"backyard","small",15,0,0,9.48200491384809,1,1,1,0
57,"backyard","small",16,1,0,9.70030007436278,0,1,0,0
58,"campsite","large",37,1,0,30.387705992587,1,1,0,0
59,"campsite","small",12,1,0,10.1077370373407,1,1,1,0
60,"backyard","small",12,0,1,8.12373145071376,1,1,1,1
61,"backyard","small",14,1,0,10.5640082210152,1,1,0,0
62,"beach","small",9,1,0,7.5544586812801,0,1,1,0
63,"campsite","small",11,1,0,8.28859192659698,1,1,1,0
64,"backyard","small",9,0,0,7.59184390944411,1,1,1,1
65,"backyard","small",9,1,0,4.11000654001235,1,1,1,0
66,"backyard","small",12,1,1,8.73967018965618,1,0,1,1
67,"campsite","small",13,0,0,6.65212256240862,1,1,1,0
68,"campsite","small",12,0,1,7.16034847941396,1,1,1,1
69,"backyard","large",48,0,1,33.6726131896498,1,1,1,1
70,"backyard","small",13,0,0,6.4579677044393,1,1,0,0
71,"backyard","small",10,0,0,8.06446083144283,1,1,0,1
72,"backyard","large",48,0,0,39.0148797544174,1,1,1,0
73,"campsite","small",9,1,0,5.48777613728389,0,1,0,0
74,"beach","large",46,0,0,41.5672437843576,1,1,0,0
75,"backyard","small",13,1,0,9.57740802706791,0,1,0,1
76,"campsite","small",11,1,0,8.65379059646848,1,1,1,0
77,"campsite","small",10,0,0,8.778131620953,1,1,1,0
78,"campsite","large",46,1,0,35.5399515520505,1,1,1,0
79,"backyard","large",48,0,1,33.2055430320345,1,1,0,0
80,"backyard","small",20,0,0,11.8106794470603,0,1,1,0
81,"backyard","small",12,1,0,9.94858276726354,1,1,0,0
82,"backyard","small",14,1,0,7.40548652025125,0,1,1,1
83,"backyard","large",45,0,0,31.5783728687842,1,1,1,1
84,"campsite","small",11,0,0,6.29481507989803,1,1,1,1
85,"beach","small",11,1,1,9.07181077889746,1,1,1,0
86,"backyard","small",13,1,0,10.5328416951011,1,1,1,0
87,"backyard","large",47,0,1,29.1984829536188,0,1,0,1
88,"campsite","large",47,0,0,35.9044071178907,1,1,1,1
89,"backyard","small",12,1,0,4.99196249706054,1,1,0,0
90,"backyard","small",9,1,0,5.03335402653535,1,1,1,0
91,"backyard","small",15,1,0,12.4987344227678,1,1,0,0
92,"campsite","large",33,1,0,23.6143071465014,1,1,0,0
93,"backyard","large",39,0,0,25.4566657830501,1,1,0,0
94,"backyard","large",35,1,0,19.6969543943949,1,1,0,1
95,"campsite","small",20,1,1,13.5492834170787,1,1,1,0
96,"campsite","small",11,0,0,4.98065280255697,1,1,1,0
97,"backyard","small",12,1,0,6.33706516430963,1,1,1,1
98,"backyard","small",7,0,0,5.79260361998896,0,0,1,0
99,"backyard","large",43,0,1,31.8542033747279,1,1,1,0
100,"beach","small",16,0,0,16.0531496136621,0,1,1,1
101,"backyard","small",7,1,0,2.8244899408713,1,1,0,1
102,"beach","small",11,0,0,6.50935779490311,1,1,0,1
103,"campsite","small",10,1,0,4.93248943092149,1,1,0,1
104,"campsite","small",10,1,1,6.1935577643989,1,1,1,1
105,"campsite","large",44,0,0,37.993136035926,1,1,0,1
106,"campsite","small",17,0,0,7.52022169751201,1,1,1,1
107,"backyard","large",47,1,1,37.8495993766365,1,0,0,1
108,"campsite","large",52,0,0,26.5744873494433,1,0,1,0
109,"campsite","small",11,1,0,9.43229026042651,1,1,1,0
110,"backyard","small",8,1,0,4.44763113420968,1,1,1,1
111,"backyard","small",13,1,0,8.13029397996258,1,1,1,0
112,"backyard","large",46,1,0,31.2786087189182,1,1,1,0
113,"campsite","large",44,0,0,31.4940450364686,1,1,1,0
114,"backyard","large",39,1,0,30.0422915087682,1,1,1,0
115,"backyard","small",14,0,0,9.16177331737129,1,1,1,0
116,"campsite","large",45,0,1,24.8350768498101,0,1,1,0
117,"backyard","large",28,1,0,18.5811796922573,1,1,1,0
118,"beach","small",15,0,0,7.84361787731112,1,1,0,1
119,"campsite","small",16,0,1,11.0372331607764,1,1,0,0
120,"backyard","large",49,1,1,41.2300541282639,1,1,0,0
121,"campsite","small",13,1,0,7.06714170172018,1,1,1,0
122,"backyard","small",10,0,0,6.0333100956521,1,1,0,0
123,"beach","large",37,1,1,28.7684057157077,1,1,0,0
124,"backyard","small",12,1,1,8.14821279959163,1,1,1,0
125,"backyard","small",7,0,0,5.07456734685512,1,1,1,0
126,"campsite","small",12,0,1,7.78771780824468,1,1,0,0
127,"beach","small",12,0,0,7.26660027435391,1,1,1,0
128,"beach","small",10,0,1,8.29399289374265,1,1,0,0
129,"backyard","small",17,1,0,15.9520997911905,0,1,1,1
130,"backyard","small",12,1,0,12.0061696290762,1,1,0,0
131,"backyard","small",13,0,0,5.15505317368777,1,1,1,0
132,"backyard","small",12,0,0,8.87742917775192,0,0,1,0
133,"backyard","large",36,0,0,31.0194570470185,1,1,0,0
134,"campsite","small",10,0,0,5.91571133918791,0,1,1,0
135,"campsite","large",44,0,0,36.4479777175158,1,1,0,0
136,"backyard","small",14,0,0,8.97026142143979,1,1,0,0
137,"backyard","large",40,0,1,32.2293092235612,1,1,1,0
138,"backyard","small",10,1,0,4.69752912466623,0,1,1,0
139,"campsite","small",14,1,0,13.2865527817667,1,1,0,1
140,"beach","small",8,1,0,5.21115301480152,1,1,1,0
141,"campsite","small",13,1,0,9.34921862652332,1,1,0,0
142,"campsite","small",12,0,0,5.93018798633809,1,1,1,0
143,"backyard","large",45,1,1,34.0132805680907,1,1,1,0
144,"campsite","large",53,0,0,38.628671419601,1,1,1,1
145,"backyard","small",7,1,0,4.42315356566021,1,1,1,0
146,"backyard","large",42,1,0,31.1328628858511,0,1,1,0
147,"backyard","large",38,0,0,27.5493417679559,1,1,1,1
148,"campsite","small",12,1,0,6.56535516335966,1,1,0,0
149,"backyard","small",16,1,0,14.3013137383226,1,1,1,0
150,"campsite","small",11,1,0,6.67730658663621,1,1,1,0
151,"backyard","small",11,1,1,7.5365644432266,1,1,1,0
152,"beach","small",15,1,0,12.973946191556,1,1,1,1
153,"campsite","small",13,0,1,7.89006517673235,1,1,0,0
154,"beach","small",12,0,0,8.54079635760416,1,1,1,1
155,"backyard","small",14,0,0,9.53574566734989,0,1,0,1
156,"backyard","large",52,1,0,45.2547468554967,1,1,0,0
157,"backyard","small",13,0,0,9.87243648346195,1,1,1,0
158,"backyard","small",14,0,1,5.89278336894963,1,1,1,1
159,"campsite","small",8,1,1,3.29159623255362,0,1,0,1
