"ID","location","size_est","size_actual","charcoal_present","smoker_present","salads","burgers","hotdogs","chicken","beyond_items","propane_used"
1,"backyard","small",13,0,0,9.30291850816175,1,1,1,0,57.5523742335407
2,"campsite","small",16,1,0,10.9341690566114,1,1,1,0,46.2390421909228
3,"backyard","small",11,0,0,7.59304660002958,1,1,0,0,57.8944775762925
4,"backyard","large",38,1,1,29.4528015888651,0,1,1,0,34.3708505359243
5,"backyard","small",14,0,0,13.6329478284678,0,1,1,0,58.5405024233165
6,"backyard","small",11,0,0,5.79882856311363,1,0,1,0,57.3022848442888
7,"beach","small",10,1,0,4.28001097726581,1,1,0,0,43.4812406923724
8,"beach","small",8,1,0,4.57721399805361,1,1,1,0,43.7930443245664
9,"campsite","small",15,0,0,10.2308257737216,1,1,1,0,55.7258031636496
10,"backyard","large",39,0,0,23.9476442377716,1,1,0,0,66.255054749411
11,"beach","small",10,0,0,8.92149068057116,1,1,0,0,55.0496228042408
12,"backyard","small",16,1,0,10.9842219221899,1,1,1,0,50.0564301465631
13,"backyard","small",13,1,0,10.9848381530664,1,1,1,0,47.9658608185743
14,"campsite","small",10,1,0,6.26712243808271,1,1,1,1,44.8239839234566
15,"backyard","large",38,1,0,23.0895406478644,1,1,0,1,55.9492338019097
16,"backyard","small",9,0,0,7.91874505953866,0,1,1,0,55.499307424394
17,"backyard","small",13,1,0,8.40507730259765,1,0,0,0,49.6787311554388
18,"backyard","small",9,1,0,7.37776064432824,0,1,1,1,45.008945927092
19,"campsite","small",11,0,0,6.67772023198063,1,1,1,0,55.1904418162682
20,"backyard","small",8,1,0,5.15495335784684,1,1,1,1,45.0706320297609
21,"backyard","small",10,0,0,9.29522292440361,0,1,1,1,56.1577508387364
22,"campsite","small",9,0,1,5.60592215790964,1,1,1,1,35.3653799432626
23,"backyard","small",10,1,0,4.11386246865146,1,1,1,0,47.9189639906347
24,"backyard","small",15,1,0,6.71405413665961,1,1,0,1,46.6053037642787
25,"backyard","small",11,1,0,7.1517473055681,1,0,1,0,48.680596302179
26,"campsite","small",16,1,1,13.723896277017,1,1,1,1,27.3116546780375
27,"backyard","large",39,1,0,24.7833745168466,1,0,0,0,57.6976121555633
28,"backyard","large",43,1,0,32.3644041115333,1,1,1,0,55.9682428779806
29,"campsite","small",16,1,0,11.386730392711,1,1,1,0,45.7886881932632
30,"backyard","small",13,1,0,10.3667369627462,1,1,1,1,48.0986655632758
31,"campsite","small",12,1,0,7.76401028203753,1,1,0,1,46.2903982459642
32,"beach","small",16,1,1,12.1174204002443,1,1,0,0,23.7660157320073
33,"backyard","small",7,1,0,4.9821168410657,1,1,1,0,44.5364129783122
34,"campsite","small",9,0,0,8.09639567306433,1,1,1,0,55.2293785459153
35,"backyard","small",9,1,0,6.00062535479796,0,1,0,0,45.0534695479164
36,"backyard","large",50,1,0,38.6726348144279,1,1,1,0,56.8795502986813
37,"campsite","small",14,0,0,9.70477128597482,0,1,1,0,54.5462499351895
38,"backyard","small",12,0,0,5.80981887536913,1,1,1,0,56.8155520850802
39,"backyard","small",10,0,0,7.46183469235351,1,1,0,0,56.4449879983439
40,"backyard","small",14,1,0,11.2043603359892,1,1,1,0,49.1116682993617
41,"backyard","small",15,1,0,14.3828144262572,1,1,1,0,49.6600560387364
42,"campsite","small",16,1,0,9.52559725183804,1,1,1,0,46.8547842549134
43,"backyard","large",32,0,0,26.2582230102545,1,1,1,0,63.4313015175604
44,"backyard","large",49,0,0,44.0847279475193,0,1,1,1,66.4970736900103
45,"backyard","large",30,0,0,23.8922393554269,1,1,1,0,61.8392249403453
